category,rating,label,text_
Men's Clothing,5,OR,"Love this  Well made, sturdy, and very comfortable.  I love it Very pretty."
Men's Clothing,4,OR,"I love this product so much."
Men's Clothing,4,OR,"Best product and fast delivery."
Men's Clothing,4,OR,"Excellent Product."
Men's Clothing,4,OR,"loved it."
Men's Clothing,5,OR,"Wow, this product is so cool."
Men's Clothing,3,OR,"Not much like that expected but overall good product."
Men's Clothing,4,OR,"Better than expected."
Men's Clothing,4,OR,"Thank you so much for this product."
Men's Clothing,4,OR,"Awesome."
Men's Clothing,5,OR,"Wow, wow great product."
Men's Clothing,1,OR,"Very very bad product."
Men's Clothing,1,OR,"I didnot like this product."
Men's Clothing,2,OR,"Not satisfied with product."
Men's Clothing,2,OR,"The product is not like what I expected."
Men's Clothing,2,OR,"Overall, This product is ok."
Men's Clothing,1,OR,"Poor product."
Men's Clothing,4,CG,"fdgfdgrgrhgrhgrgr."
Men's Clothing,5,OR,"gherfdddddddddddddddddddddddd ddfhgddddkgiewoRvgooooooj  gneriyghreghreihgerihger."
Men's Clothing,4,CG,"I love you."
Men's Clothing,5,CG,"Goodmorning."
Men's Clothing,5,CG,"Help me please."
Men's Clothing,3,CG,"By bye."
Men's Clothing,4,CG,"Very very very vey very very good product."
Men's Clothing,1,CG,"Very very very vey very very bad product."
Men's Clothing,2,CG,"vsdkjviuvshvjs fsdvgfsdg fsdvbsfdg."
Men's Clothing,2,CG,"What is your name?."
Mens Clothing,2,CG,"My name is khan and I am not a terrorist."
Mens Clothing,1,CG,"vdvdvds ewrtewrte wtgfergreg regyhregregre."
Men's Clothing,4,OR,"This shirt fits well and is made from high-quality materials."
